Data;DataHora;Grupo;Transportadora;ChaveNFe;NumeroNF;ShipmentOrderID;UF;FaixaPeso;PesoRealKg;ValorCobrado;ValorEBBEstimado;Economia
2026-06-26;2026-06-26 14:08:25.163;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003938011230304720;393801;31834391;MG;20-30kg;20.96586;164.5;374.3104225352113;209.81042253521127
2026-06-26;2026-06-26 16:50:21.143;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004123181297970675;412318;31836071;PR;20-30kg;20.96586;103.03;295.78093023255815;192.75093023255815
2026-06-26;2026-06-26 17:50:19.510;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004123341380083447;412334;31836874;RS;20-30kg;20.96586;117.6;344.2204545454546;226.62045454545458
2026-06-27;2026-06-27 14:48:25.800;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003874371472116654;387437;31841414;PR;30kg+;331.22700000000003;549.88;537.3662837837838;-12.513716216216153
2026-06-27;2026-06-27 15:35:13.940;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003991771960005780;399177;31841846;SC;10-20kg;17.577;94.07;333.5888235294118;239.5188235294118
2026-06-27;2026-06-27 19:25:15.403;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004123861983333875;412386;31842854;MG;10-20kg;12.445524;151.17;349.35677966101696;198.18677966101697
2026-06-28;2026-06-28 13:50:20.283;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004123301448503528;412330;31846008;RS;20-30kg;20.96586;117.77;344.2204545454546;226.4504545454546
2026-06-29;2026-06-29 10:50:16.240;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260601336140000874550010003854341436296775;385434;31853554;MG;30kg+;98.0;638.17;703.1904179104478;65.0204179104478
2026-06-29;2026-06-29 14:10:19.053;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003941881880137290;394188;31854735;PR;10-20kg;12.445524;93.86;315.1783870967742;221.3183870967742
2026-06-30;2026-06-30 23:20:28.517;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004123661292848186;412366;31866551;PR;20-30kg;20.96586;110.99;295.78093023255815;184.79093023255814
2026-07-01;2026-07-01 10:50:19.753;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003992011602633989;399201;31869368;MG;10-20kg;17.577;153.65;349.35677966101696;195.70677966101695
2026-07-01;2026-07-01 11:10:23.313;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003992521569068326;399252;31869586;PR;10-20kg;17.577;102.83;315.1783870967742;212.34838709677422
2026-07-02;2026-07-02 09:05:40.703;Todo Brasil / Dominalog -> Sul/Sudeste;TODOBRASIL;31260701336140000874550010003884041841840475;388404;31877513;SP;30kg+;258.3582;649.43;397.9043069948186;-251.52569300518132
2026-07-02;2026-07-02 14:06:56.490;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004093791694249089;409379;31880061;RS;10-20kg;16.37;114.31;359.7268;245.41680000000002
2026-07-02;2026-07-02 16:10:22.680;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260801336140000874550010004334741748738402;433474;31881169;RS;20-30kg;20.96586;110.56;344.2204545454546;233.66045454545457
2026-07-02;2026-07-02 23:30:25.293;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004094111983654500;409411;31884675;RS;10-20kg;16.37;114.31;359.7268;245.41680000000002
2026-07-05;2026-07-05 13:20:18.660;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004122911921088030;412291;31899237;MG;10-20kg;12.445524;149.76;349.35677966101696;199.59677966101697
2026-07-06;2026-07-06 09:07:15.783;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004177131909719577;417713;31905173;MG;30kg+;268.5312;549.37;703.1904179104478;153.82041791044776
2026-07-06;2026-07-06 17:35:11.633;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260801336140000874550010004281731097611693;428173;31909031;RS;20-30kg;20.96586;102.07;344.2204545454546;242.15045454545458
2026-07-08;2026-07-08 14:06:50.917;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004085241503949780;408524;31923417;PR;30kg+;181.272;311.51;537.3662837837838;225.85628378378385
2026-07-09;2026-07-09 10:30:34.653;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260801336140000874550010004281471889745087;428147;31928638;MG;20-30kg;20.96586;164.5;374.3104225352113;209.81042253521127
2026-07-09;2026-07-09 17:40:20.847;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260801336140000874550010004335041886945501;433504;31931305;MG;10-20kg;12.445524;149.76;349.35677966101696;199.59677966101697
2026-07-09;2026-07-09 22:50:18.863;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003960471358896569;396047;31932964;RS;10-20kg;14.915697300000001;102.86;359.7268;256.8668
2026-07-10;2026-07-10 09:20:20.470;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260801336140000874550010004286891369966493;428689;31934354;PR;20-30kg;20.96586;103.85;295.78093023255815;191.93093023255815
2026-07-10;2026-07-10 10:40:18.123;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003992751364581891;399275;31934942;RS;10-20kg;17.577;106.95;359.7268;252.77680000000004
2026-07-10;2026-07-10 17:10:19.303;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003992711771939958;399271;31938052;PR;10-20kg;17.577;103.43;315.1783870967742;211.7483870967742
2026-07-10;2026-07-10 22:20:16.870;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260801336140000874550010004281591919966591;428159;31939865;MG;20-30kg;20.96586;163.62;374.3104225352113;210.69042253521127
2026-07-11;2026-07-11 10:40:21.060;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003969531842920231;396953;31941258;SP;30kg+;63.485;188.19;397.9043069948186;209.71430699481863
